source,title,company,location,remote,salary,posted_at,url,apply_url,description
welcome_to_the_jungle,Lead Product Manager F/H (Product Operations),Hubvisory,"Paris, Paris, FR",,,2026-09-11,https://www.welcometothejungle.com/fr/companies/hubvisory/jobs/lead-product-manager-f-h-product-operations_paris,https://contact.welcometothejungle.com/candidate-coach,"Construire un bon produit, c'est une chose. Faire en sorte que toute une organisation produit fonctionne à l'échelle, c'est un autre métier.En tant que Lead Product Manager F/H chez Hubvisory, tu interviens auprès de nos clients grands comptes pour structurer, outiller et scaler leurs organisations produit. Tu n'es pas là pour livrer une feature : tu es là pour installer les conditions dans lesquelles 10, 20 ou 50 PM peuvent délivrer de la valeur de manière cohérente.🎯 Ta missionConcevoir et déployer l'operating model produit : gouvernance, rituels, rôles, cadres de décisionStructurer le tooling et les standards produit à l'échelle : templates, frameworks de priorisation, quality gates, documentationPiloter l'alignement entre les équipes produit, tech, design et les directions métier pour réduire les frictions et accélérer les cyclesMesurer la performance de l'organisation produit : health metrics, vélocité, time-to-value, adoption des pratiquesCoacher les PM et les leads sur la posture, la méthode et le delivery dans des contextes multi-équipesTu interviens chez des acteurs comme SNCF, Boulanger, LVMH ou Club Med, là où le sujet n'est plus ""faire du produit"" mais ""faire du produit à l'échelle sans perdre en qualité"".👉 Pourquoi rejoindre Hubvisory ?Chez Hubvisory, nous mettons tout en place pour créer un esprit d'équipe infaillible et un échange constant !🎓 Une formation Product de 2 semaines à ton arrivée via notre Campus🎤 Des temps de discussions dédiés chaque mois pour échanger sur les bonnes pratiques et monter en compétences constamment♟ Des activités variées pour se retrouver autour de passions communes, même à distance !🤩 Et aussi … des lunchs, des apéros et des séminaires qui permettent de partager des moments inoubliables💰 Des revalorisations salariales bi-annuelles🎁 Intéressement, congés payés supplémentaires…💎 Des valeurs fortes : depuis 10 ans Hubvisory grandit autour de la bienveillance, la méritocratie, l'ambition, l'expertise et l'apprentissage.Requirements:🔍 Le profil recherché5 à 8 ans d'expérience en Product Management, dont une exposition significative à des sujets de scaling, d'organisation produit ou de Product OpsExpérience en structuration d'équipes produit multi-squads : operating model, governance, rituels cross-équipesMaîtrise des frameworks de priorisation, OKR, et des outils produit à l'échelle (Jira, Productboard, Notion, Amplitude...)Capacité à prendre de la hauteur : tu penses organisation avant feature, système avant sprintSoft skills : leadership d'influence, communication C-level, rigueur analytique, capacité à fédérer des équipes qui ne te reportent pas💰 Rémunération : 52-68K€ fixe + variable + intéressement📋 Process de recrutementÉchange avec un recruteur (fit mutuel, parcours, projet)Cas pratique en live avec un Manager (90 min)Entretien de projection avec un VP ou cofondateur (90 min)Échange closing et proposition d'embaucheQuelle que soit l'issue de ton process, tu reçois un retour de notre part sous 7 jours maximum."
welcome_to_the_jungle,Data Product Owner/Product manager H/F,Plateforme des Données de Santé / Health Data Hub,"Paris, Paris, FR",,,2026-09-11,https://www.welcometothejungle.com/fr/companies/plateforme-des-donnees-de-sante/jobs/data-product-owner-product-manager-h-f_paris,https://contact.welcometothejungle.com/candidate-coach,"Au sein de la Plateforme des Données de Santé, l’équipe produit a pour objectif de définir le cap pour le développement de la plateforme technologique, mais également la mise à disposition d’outils de données pour faciliter la découverte, l’ingestion et la valorisation des données de santé manipulées sur cette plateforme. Dédié à ce deuxième objectif, le rôle du Data Product Owner/Product Manager à la Plateforme des Données de Santé  est une position stratégique pour le développement de l’écosystème des données de santé en France et en Europe. Ce poste exige une collaboration étroite avec une équipe diversifiée incluant des développeurs, la direction des données, la direction technique, et d’autres parties prenantes clés.Vous serez chargée d’étudier et de répondre à des cas d’usages ambitieux autour des métadonnées des bases de données de santé, en concevant les outils permettant de cataloguer, documenter, qualifier et valoriser ces données. Vous trouverez ci-dessous des exemples de projets sur lesquels vous serez amené à travailler : Catalogue de métadonnées: Ce projet ambitieux a pour objectif de se transformer en un catalogue national, alimentant un catalogue européen de données de santé. Le catalogue de métadonnées est mis à disposition des chercheurs pour les orienter vers les bases de données d’intérêt avant la mise à disposition effective de celles-ci dans la plateformeSolution de validation de qualité des données : L’étape d’ingestion des données au sein de la PDS est très méticuleuse. Lors de ce processus, la donnée peut être détériorée. L’ambition est alors d’avoir un processus évaluant la qualité, l’intégrité et la confidentialité de ces données.Innovation & Automatisation : Explorez de nouveaux usages, comme le scan automatisé de bases de données ou le traitement de formats spécialisés tels que l’imagerie médicale (DICOM), pour renforcer notre conformité et notre efficacité.Votre mission sera d’assurer que les données de santé, provenant de sources publiques et privées, soient non seulement accessibles mais aussi utilisées efficacement pour favoriser l’innovation médicale et la recherche. MISSIONSLe/la Data Product Owner/Product Manager assure les missions suivantes dans le cadre d’un projet technologique, où les utilisateurs sont des Détenteurs de données, des Porteurs de projet de recherche, des Data Engineers, Data Scientists:Cadrer les besoins/problématiques des utilisateurs concernés par l’usage ou la production de métadonnées décrivant les bases de données de Santé  : Réaliser les interviews utilisateurs pour définir les besoins et les cas d’usage.Préparer et organiser la priorisation des besoins avec la Direction.Élaborer une roadmap.Produire des notes de cadrage structurant et traçant les travaux autour des fonctionnalités.Rédiger des User Stories liées aux fonctionnalités à traiter :Approfondir le contexte et la valeur pour l’utilisateur.Collaborer avec l’équipe de développement pour identifier les tâches techniques sous-jacentes.Rédiger des User Stories claires avec des critères d’acceptation précis.Agir en tant que porte-parole des utilisateurs auprès de l’équipe de développement.Organiser des projets de développement en sprint :Gérer et prioriser le backlog du produit.Animer les rituels agiles (backlog refinement, démo, sprint review, rétrospectives).Assurer la gouvernance des DoR et DoD.Participer avec l’équipe RM, à la rédaction des scénarios de tests, à l’exécution des tests dans le cadre de la validation des livraisons.Assurer la concordance du produit développé avec les besoins exprimés.S’assurer de l’adoption des nouvelles fonctionnalités : Communiquer en interne sur les avancées de la roadmap et la livraison des fonctionnalités.Suivre la mise en production des fonctionnalités.Rédiger la documentation utilisateur et suivre la mise en production.Animer des événements de mise en visibilité (webinaires, meetups) pour favoriser l’appropriation des outils."
welcome_to_the_jungle,Consultant.e Product Owner,IKXO,"Boulogne-Billancourt, Hauts-de-Seine, FR",,,2026-09-11,https://www.welcometothejungle.com/fr/companies/ikxo/jobs/product-owner_paris,https://contact.welcometothejungle.com/candidate-coach,"En tant que Product Owner et ambassadeur.rice IKXO, tu seras amené.e à intervenir en immersion chez nos clients pour les accompagner sur leurs enjeux Product.Ton rôle est de maximiser la valeur produit et d’assurer son développement en adéquation avec son marché et la vision d’entreprise du client.Pour cela, tu devras :Fédérer autour de la vision produit définie et aligner les stakeholders sur une trajectoire commune.Collaborer avec les équipes impliquées (UX, business, ingés, devs, etc.) pour faire converger leurs actions et prioriser sur ce qui compte.Piloter le delivery des features (dimension Ownership) : gestion du backlog, formalisation des tickets, pilotage de l’exécution des sprints, etc.Mesurer la performance et évaluer le succès du produit pour identifier les points chauds et détecter de nouveaux potentiels de valeur.Tu seras également amené.e à contribuer activement à la vie et au développement d’IKXO :Projets internes,Animation de collectifs,Recrutement,Formation,Coaching, mentoring des jeunes consultants,Organisation d’événements (bien-être, sport, soirée, expo…),…"
welcome_to_the_jungle,Product Owner H/F,eXalt,"Paris, Paris, FR",,,2026-09-11,https://www.welcometothejungle.com/fr/companies/exalt/jobs/product-owner-h-f_paris_EXALT_N4l3gK1,https://contact.welcometothejungle.com/candidate-coach,"eXalt est une formidable aventure humaine, une communauté de plus de 1500 consultants, polyglottes du digital, dédiés à la transformation et spécialistes du Product & Project Management.Fondée en juillet 2018 autour des valeurs d’intrapreneuriat, de co-apprentissage et de co-construction, eXalt inscrit son développement dans un engagement fort auprès de ses clients et de ses équipes : rester pour longtemps encore, une start-up du consulting, agile et réinventée.La force d’eXalt consiste à s’organiser en interne comme une organisation produit et à cultiver.Les méthodes du Product Management au sein des équipes pour faciliter la diffusion des bonnes pratiques auprès de ses clients.Do-ocrate dans sa croissance, eXalt est aussi un groupe qui décline son modèle dans le secteur de la finance de marché au sein de sa filiale eXalt Fi ou encore dans l’IT, dans le dev, le cloud et la data au sein de sa filiale eXalt Value.Descriptif du posteVrais guides dans le développement d’un produit numérique ils assurent les solutions aux besoins des utilisateurs en priorisant les fonctionnalités, en collaborant avec toutes les parties prenantes et en assurant la création d’une expérience utilisateur pratique et efficace pour un produit final optimal, pour résumer, ils interprètent les besoins des clients et les transforment en outils fonctionnels 💼**Les tâches :**- Rédiger les user stories et spécifications claires pour guider les développeurs.- Collaborer étroitement avec les équipes de développement, les UX designers et les parties prenantes.- Intégrer les contraintes techniques tout en maintenant la satisfaction des utilisateurs.- Gérer efficacement le backlog pour garantir une progression continue du produit.- S’assurer que le produit digital offre une expérience utilisateur exceptionnelle.- Suivre les tendances numériques et les innovations pour rester à la pointe de la technologie.- Comprendre les enjeux front / back / API / techniques et challenger les équipes de développement en charge de la réalisation."
welcome_to_the_jungle,Product Owner Middle Office  H/F,Edenred France,"Montrouge, Hauts-de-Seine, FR",,,2026-09-11,https://www.welcometothejungle.com/fr/companies/edenred/jobs/chef-de-projet-applicatif-h-f_montrouge_EF_3me8Zke,https://contact.welcometothejungle.com/candidate-coach,"Nous recherchons notre futur Product Owner Middle office H/F en CDI à Montrouge ! 🎯  Votre impact : Edenred Mobility est un leader mondial des solutions de mobilité à destination des entreprises et de leurs salariés. La Business Line Mobility est présente dans de nombreux pays en Europe, Amérique Latine et aux Etats-Unis. Elle représente ~25% des revenus d'Edenred et connait une forte croissance (> 20% par an). Edenred Mobility France est le 2ème acteur du marché des carburant, carte multi-énergies (avec la recharge électrique) et péage en France. L'entreprise opère des programmes mono-marque (cartes Intermarché, Carrefour et Auchan) ainsi que son programme multi-marques (Ticket Fleet Pro). Ses solutions permettent aux flottes d'optimiser leur gestion, de réduire leur coût de carburant et facilitent la transition énergétique. Edenred Mobility France adresse tous types de clients privés et publics : PME, Middle Market, Grands Comptes, administration. Edenred Mobility France a une forte ambition de croissance pour les années à venir sur l'ensemble de ses segments clients, mais aussi avec le lancement d'une solution 360° de recharge électrique (en itinérance, au travail et au domicile des collaborateurs). Edenred a annoncé l'acquisition en février 2024 de Spirii, un des leaders européens des solutions de recharge électrique. Dans le cadre de sa croissance, Edenred Mobility France recrute un Product Owner middle Office H/F 👉 Vos missions Vous serez rattaché(e) au Directeur IT. -A ce titre, vos principales missions seront les suivantes : Product Management: Maîtriser les fonctionnalités du produit en lien avec le Middle Office, et piloter correctement les livrables attendus en étroite collaboration avec les équipes métiers.Solides compétences BA: Adopter une approche analytique et opérationnelle pour comprendre les processus métiers et contribuer à leur amélioration dans un flux de bout en bout (de l'identification du besoin jusqu'à la formation des utilisateurs).Gestion de projet: Superviser et délivrer les projets impliquant le Middle Office.Suivi opérationnel et coordination transversale: L'excellence opérationnelle est indispensable; être impliqué(e) dans un écosystème IT efficace et performant avec l'équipe IT et les prestataires externes (principalement Galitt).Méthodologie et amélioration continue: Disposer d'une approche et d'une méthodologie solides dans la conduite des projets et des capacités Middle Office, en garantissant pérennité, performance et amélioration continue."
